Length,Deletion Probability,Epsilon,%Error_in_BMA,Time Taken_in_BMA,Average_EditDistance_BMA,%Error_in_WA1,Time Taken_in_WA1,Average_EditDistance_WA1
40,5.0,0.1,5.700000000000003,15.225859880447388,0.19,0.0,9.656591176986694,0.0
40,5.0,0.3,37.8,2.801689624786377,1.411,0.0,1.5527095794677734,0.0
40,5.0,0.5,63.8,1.1966121196746826,3.44,9.200000000000003,0.6133832931518555,0.095
40,5.0,1.0,78.4,0.5934152603149414,2.761,59.4,0.21746301651000977,0.746
40,10.0,0.1,100.0,19.759657382965088,4.891,0.0,13.13267207145691,0.0
40,10.0,0.3,100.0,2.5789287090301514,5.122,1.9000000000000057,1.6235694885253906,0.019
40,10.0,0.5,99.9,1.5560722351074219,5.563,30.599999999999994,0.8173041343688965,0.325
40,10.0,1.0,99.5,0.6995580196380615,7.234,79.4,0.27492189407348633,1.14
60,0.1,0.1,0.0,13.32939338684082,0.0,0.0,8.756714344024658,0.0
60,0.1,0.3,0.0,1.6727681159973145,0.0,0.0,0.9849221706390381,0.0
60,0.1,0.5,0.0,0.9322237968444824,0.0,0.0,0.45815324783325195,0.0
60,0.1,1.0,5.900000000000006,0.5935420989990234,0.114,6.0,0.23842334747314453,0.06
60,0.3,0.1,0.0,16.048596382141113,0.0,0.0,10.4422926902771,0.0
60,0.3,0.3,0.0,2.246331214904785,0.0,0.0,1.2232558727264404,0.0
60,0.3,0.5,0.0,1.2632150650024414,0.0,0.0,0.6094551086425781,0.0
60,0.3,1.0,15.700000000000003,0.7115249633789062,0.323,16.599999999999994,0.23066377639770508,0.181
60,0.5,0.1,0.0,15.541120290756226,0.0,0.0,10.190277099609375,0.0
60,0.5,0.3,0.0,1.9165523052215576,0.0,0.0,1.0955088138580322,0.0
60,0.5,0.5,0.4000000000000057,1.0418317317962646,0.045,0.0,0.48240113258361816,0.0
60,0.5,1.0,22.5,0.686382532119751,2.417,2.299999999999997,0.24290680885314941,0.023
60,1.0,0.1,0.0,17.456374406814575,0.0,0.0,11.553054094314575,0.0
60,1.0,0.3,0.0,2.1180176734924316,0.0,0.0,1.217095136642456,0.0
60,1.0,0.5,0.20000000000000284,1.0333075523376465,0.007,0.7999999999999972,0.5289077758789062,0.008
60,1.0,1.0,45.8,0.9237020015716553,5.153,5.0,0.36008238792419434,0.05
60,1.5,0.1,0.0,20.129689931869507,0.0,0.0,12.752065181732178,0.0
60,1.5,0.3,0.0,2.522282361984253,0.0,0.0,1.408029317855835,0.0
60,1.5,0.5,3.200000000000003,1.3311278820037842,0.323,0.7999999999999972,0.6266977787017822,0.008
60,1.5,1.0,61.9,0.7134964466094971,6.667,15.700000000000003,0.24647283554077148,0.169
60,2.0,0.1,0.0,21.608955144882202,0.0,0.0,13.910126209259033,0.0
60,2.0,0.3,0.0,2.7061257362365723,0.0,0.0,1.536928415298462,0.0
60,2.0,0.5,3.5999999999999943,1.376101016998291,0.191,1.0,0.6653687953948975,0.01
60,2.0,1.0,72.2,0.7676596641540527,8.132,27.0,0.27614879608154297,0.306
60,2.5,0.1,0.0,23.206084489822388,0.0,0.0,14.727507591247559,0.0
60,2.5,0.3,1.0,3.014880418777466,0.034,0.0,1.70808744430542,0.0
60,2.5,0.5,15.200000000000003,1.655991554260254,0.678,3.700000000000003,0.7337327003479004,0.038
60,2.5,1.0,83.0,0.8536677360534668,9.748,41.0,0.26865196228027344,0.51
60,3.0,0.1,0.0,22.813053369522095,0.0,0.0,14.860408067703247,0.0
60,3.0,0.3,2.700000000000003,3.772306442260742,0.158,0.0,2.1844964027404785,0.0
60,3.0,0.5,27.200000000000003,2.0207762718200684,2.052,4.599999999999994,0.9818530082702637,0.046
60,3.0,1.0,87.0,1.1778488159179688,10.757,50.6,0.3632819652557373,0.673
60,3.5,0.1,0.0,34.896432399749756,0.0,0.0,20.786779642105103,0.0
60,3.5,0.3,8.900000000000006,5.019235849380493,0.697,0.0,2.6767468452453613,0.0
60,3.5,0.5,42.3,1.95579195022583,3.585,5.0,0.9315285682678223,0.05
60,3.5,1.0,75.7,1.2589678764343262,3.624,40.5,0.44925665855407715,0.511
60,4.0,0.1,0.0,35.68747353553772,0.0,0.0,21.684896230697632,0.0
60,4.0,0.3,18.299999999999997,4.2841174602508545,1.033,0.09999999999999432,2.328908920288086,0.001
60,4.0,0.5,48.5,1.9648346900939941,2.882,5.200000000000003,0.9631521701812744,0.053
60,4.0,1.0,79.7,1.195951223373413,4.28,49.5,0.40856027603149414,0.65
60,4.5,0.1,15.0,36.60401105880737,0.814,0.0,21.670897006988525,0.0
