Length,No. of Transmits,Deletion Probability,Percentage Error,Time Taken
10,39,4.5,0.0,0.7961244583129883
10,39,5.0,0.0,0.6688127517700195
10,39,10.0,4.5,0.6300845146179199
10,42,0.1,0.0,0.73415207862854
10,42,0.3,0.0,0.778329610824585
10,42,1.0,0.0,0.7196629047393799
10,42,1.5,0.0,0.6901538372039795
10,42,2.0,0.0,0.7156600952148438
10,42,2.5,0.0,0.7546169757843018
10,42,3.0,0.0,0.8189218044281006
10,42,3.5,0.0,0.8729588985443115
10,42,4.0,0.0,0.7529597282409668
10,42,4.5,0.1,0.7037253379821777
10,42,5.0,0.0,0.7261965274810791
10,42,10.0,5.1000000000000005,0.7191638946533203
10,45,0.1,0.0,0.4938950538635254
10,45,0.3,0.0,0.461590051651001
10,45,1.0,0.0,0.4705202579498291
10,45,1.5,0.0,0.6300885677337646
10,45,2.0,0.0,0.4477381706237793
10,45,2.5,0.0,0.45200157165527344
10,45,3.0,0.0,0.4466078281402588
10,45,3.5,0.0,0.6782882213592529
10,45,4.0,0.0,0.473132848739624
10,45,4.5,0.0,0.447246789932251
10,45,5.0,0.0,0.4897465705871582
10,45,10.0,5.0,0.6392538547515869
10,48,0.1,0.0,0.5193958282470703
10,48,0.3,0.0,0.5726594924926758
10,48,1.0,0.0,0.8947691917419434
10,48,1.5,0.0,0.8427071571350098
10,48,2.0,0.0,0.8415250778198242
10,48,2.5,0.0,0.7481069564819336
10,48,3.0,0.0,0.8658580780029297
10,48,3.5,0.0,0.8925924301147461
10,48,4.0,0.0,0.8369903564453125
10,48,4.5,0.0,0.8758482933044434
10,48,5.0,0.1,0.8368282318115234
10,48,10.0,4.2,0.856658935546875
10,51,0.1,0.0,0.8997414112091064
10,51,0.3,0.0,0.8717052936553955
10,51,1.0,0.0,0.8347065448760986
10,51,1.5,0.0,0.8786380290985107
10,51,2.0,0.0,0.8847556114196777
10,51,2.5,0.0,0.8395016193389893
10,51,3.0,0.0,0.9116113185882568
10,51,3.5,0.0,0.8656175136566162
10,51,4.0,0.0,0.5075991153717041
10,51,4.5,0.0,0.4803483486175537
10,51,5.0,0.0,0.5714783668518066
10,51,10.0,4.9,0.6481304168701172
15,3,0.1,0.0,0.2145087718963623
15,3,0.3,0.2,0.20444297790527344
15,3,1.0,1.6,0.20346808433532715
15,3,1.5,1.2000000000000002,0.2023940086364746
15,3,2.0,3.6,0.21443700790405273
15,3,2.5,5.1000000000000005,0.1965043544769287
15,3,3.0,8.6,0.20943951606750488
15,3,3.5,10.3,0.21143174171447754
15,3,4.0,13.8,0.2164905071258545
15,3,4.5,15.700000000000001,0.199418306350708
15,3,5.0,19.0,0.3341045379638672
15,3,10.0,55.800000000000004,0.34928321838378906
15,6,0.1,0.0,0.34797239303588867
15,6,0.3,0.0,0.2383558750152588
15,6,1.0,0.2,0.22927474975585938
15,6,1.5,0.30000000000000004,0.23323965072631836
15,6,2.0,1.4000000000000001,0.23217010498046875
15,6,2.5,2.1,0.2324082851409912
15,6,3.0,4.0,0.2343285083770752
15,6,3.5,3.8000000000000003,0.2582676410675049
15,6,4.0,6.800000000000001,0.2412095069885254
15,6,4.5,8.9,0.22754216194152832
15,6,5.0,8.8,0.3893599510192871
15,6,10.0,39.6,0.367978572845459
15,9,0.1,0.0,0.23423504829406738
15,9,0.3,0.0,0.3061079978942871
15,9,1.0,0.0,0.2791738510131836
15,9,1.5,0.0,0.21442389488220215
15,9,2.0,0.2,0.30118465423583984
15,9,2.5,0.4,0.2742655277252197
15,9,3.0,0.6000000000000001,0.2732264995574951
15,9,3.5,0.4,0.32413220405578613
15,9,4.0,1.5,0.43581199645996094
15,9,4.5,1.8,0.3290560245513916
15,9,5.0,2.3000000000000003,0.2880973815917969
15,9,10.0,26.900000000000002,0.24724364280700684
15,12,0.1,0.0,0.30508923530578613
15,12,0.3,0.0,0.293043851852417
15,12,1.0,0.0,0.3172121047973633
15,12,1.5,0.0,0.37704014778137207
15,12,2.0,0.0,0.4816443920135498
15,12,2.5,0.0,0.523484468460083
15,12,3.0,0.30000000000000004,0.557680606842041
15,12,3.5,0.5,0.46466922760009766
15,12,4.0,0.8,0.47881007194519043
15,12,4.5,2.8000000000000003,0.4677717685699463
15,12,5.0,2.3000000000000003,0.5624289512634277
15,12,10.0,22.5,0.5047440528869629
15,15,0.1,0.0,0.5812439918518066
15,15,0.3,0.0,0.5346214771270752
15,15,1.0,0.0,0.5364837646484375
15,15,1.5,0.0,0.549349308013916
15,15,2.0,0.0,0.5844995975494385
15,15,2.5,0.0,0.584183931350708
15,15,3.0,0.1,0.5453557968139648
15,15,3.5,0.1,0.5701045989990234
15,15,4.0,0.7000000000000001,0.5881166458129883
15,15,4.5,0.7000000000000001,0.5337786674499512
15,15,5.0,0.7000000000000001,0.5761725902557373
15,15,10.0,17.900000000000002,0.5445444583892822
15,18,0.1,0.0,0.6464667320251465
15,18,0.3,0.0,0.6135709285736084
15,18,1.0,0.0,0.36606335639953613
15,18,1.5,0.0,0.3623080253601074
15,18,2.0,0.0,0.37089085578918457
15,18,2.5,0.0,0.3669264316558838
15,18,3.0,0.0,0.4660792350769043
15,18,3.5,0.0,0.48952269554138184
15,18,4.0,0.0,0.36888575553894043
15,18,4.5,0.7000000000000001,0.3620181083679199
15,18,5.0,1.0,0.35805678367614746
15,18,10.0,19.1,0.356097936630249
15,21,0.1,0.0,0.6229720115661621
15,21,0.3,0.0,0.44281649589538574
15,21,1.0,0.0,0.3839867115020752
15,21,1.5,0.0,0.48760485649108887
15,21,2.0,0.0,0.5782551765441895
15,21,2.5,0.0,0.4980027675628662
15,21,3.0,0.0,0.5555908679962158
15,21,3.5,0.0,0.6222562789916992
15,21,4.0,0.30000000000000004,0.7068977355957031
15,21,4.5,0.1,0.7987856864929199
15,21,5.0,0.30000000000000004,0.7261745929718018
15,21,10.0,13.100000000000001,0.7259619235992432
15,24,0.1,0.0,0.7728946208953857
15,24,0.3,0.0,0.8127052783966064
15,24,1.0,0.0,0.7558867931365967
15,24,1.5,0.0,0.7931783199310303
15,24,2.0,0.0,0.8158862590789795
15,24,2.5,0.0,0.7905404567718506
15,24,3.0,0.0,0.7253117561340332
15,24,3.5,0.1,0.8587501049041748
15,24,4.0,0.0,0.7876746654510498
15,24,4.5,0.30000000000000004,0.7273128032684326
15,24,5.0,0.4,0.7320201396942139
15,24,10.0,13.9,0.820732831954956
15,27,0.1,0.0,0.8536674976348877
15,27,0.3,0.0,0.8416192531585693
15,27,1.0,0.0,0.8280227184295654
15,27,1.5,0.0,0.8576741218566895
15,27,2.0,0.0,0.7957854270935059
15,27,2.5,0.0,0.8317000865936279
15,27,3.0,0.0,0.5166418552398682
15,27,3.5,0.0,0.5065453052520752
15,27,4.0,0.0,0.4856252670288086
15,27,4.5,0.1,0.6975972652435303
15,27,5.0,0.1,0.4768996238708496
15,27,10.0,13.4,0.45563626289367676
15,30,0.1,0.0,0.5297195911407471
15,30,0.3,0.0,0.6733944416046143
15,30,1.0,0.0,0.5363781452178955
15,30,1.5,0.0,0.513573169708252
15,30,2.0,0.0,0.7143223285675049
15,30,2.5,0.0,0.7978460788726807
15,30,3.0,0.0,0.8015954494476318
15,30,3.5,0.0,0.7749278545379639
15,30,4.0,0.0,0.8068785667419434
15,30,4.5,0.2,0.8289344310760498
15,30,5.0,0.30000000000000004,0.8003029823303223
15,30,10.0,13.100000000000001,0.8716115951538086
15,33,0.1,0.0,0.8367185592651367
15,33,0.3,0.0,0.9019455909729004
15,33,1.0,0.0,0.8925902843475342
15,33,1.5,0.0,0.8896594047546387
15,33,2.0,0.0,0.6157419681549072
15,33,2.5,0.0,0.5420656204223633
15,33,3.0,0.0,0.5177369117736816
15,33,3.5,0.0,0.7119016647338867
15,33,4.0,0.0,0.5566122531890869
15,33,4.5,0.1,0.5051608085632324
15,33,5.0,0.2,0.6758894920349121
15,33,10.0,11.700000000000001,0.5327041149139404
15,36,0.1,0.0,0.553370475769043
15,36,0.3,0.0,0.5916171073913574
15,36,1.0,0.0,0.7250199317932129
15,36,1.5,0.0,0.5692620277404785
15,36,2.0,0.0,0.5328271389007568
15,36,2.5,0.0,0.7560532093048096
15,36,3.0,0.0,0.5392622947692871
15,36,3.5,0.1,0.5644679069519043
15,36,4.0,0.0,0.8803391456604004
15,36,4.5,0.2,0.8857173919677734
15,36,5.0,0.2,0.9683263301849365
15,36,10.0,11.4,0.8982446193695068
15,39,0.1,0.0,0.931438684463501
15,39,0.3,0.0,1.0313546657562256
15,39,1.0,0.0,1.0787842273712158
15,39,1.5,0.0,1.0740127563476562
15,39,2.0,0.0,1.0558702945709229
15,39,2.5,0.0,1.158919095993042
15,39,3.0,0.0,1.1116504669189453
15,39,3.5,0.0,1.0928075313568115
15,39,4.0,0.1,1.109144687652588
15,39,4.5,0.2,1.0310053825378418
15,39,5.0,0.0,1.0743491649627686
15,39,10.0,9.1,1.1205906867980957
15,42,0.1,0.0,1.1333270072937012
15,42,0.3,0.0,1.108419418334961
15,42,1.0,0.0,1.0839297771453857
15,42,1.5,0.0,0.9464895725250244
15,42,2.0,0.0,0.6254124641418457
15,42,2.5,0.0,0.6853616237640381
15,42,3.0,0.0,0.7668483257293701
15,42,3.5,0.0,0.6104946136474609
15,42,4.0,0.0,0.7828712463378906
15,42,4.5,0.1,0.7488534450531006
15,42,5.0,0.0,0.6291284561157227
15,42,10.0,9.8,0.7781329154968262
15,45,0.1,0.0,0.6571023464202881
15,45,0.3,0.0,0.6945149898529053
15,45,1.0,0.0,1.0330946445465088
15,45,1.5,0.0,1.0601000785827637
15,45,2.0,0.0,1.0352413654327393
15,45,2.5,0.0,1.1101696491241455
15,45,3.0,0.0,1.010430097579956
15,45,3.5,0.0,1.0690701007843018
15,45,4.0,0.0,1.019233226776123
15,45,4.5,0.1,0.9784753322601318
15,45,5.0,0.2,0.626314640045166
15,45,10.0,10.9,0.6521105766296387
15,48,0.1,0.0,0.8436369895935059
15,48,0.3,0.0,0.6252985000610352
15,48,1.0,0.0,0.795743465423584
15,48,1.5,0.0,0.735013484954834
15,48,2.0,0.0,0.6472141742706299
15,48,2.5,0.0,0.8499667644500732
15,48,3.0,0.0,0.7284796237945557
15,48,3.5,0.1,0.8706769943237305
15,48,4.0,0.1,0.6939926147460938
15,48,4.5,0.0,0.7550628185272217
15,48,5.0,0.1,0.9126489162445068
15,48,10.0,9.9,0.6898529529571533
15,51,0.1,0.0,0.7861390113830566
15,51,0.3,0.0,0.7868430614471436
15,51,1.0,0.0,0.7930788993835449
15,51,1.5,0.0,1.161952257156372
15,51,2.0,0.0,1.1758923530578613
15,51,2.5,0.0,1.208963394165039
15,51,3.0,0.0,1.1489372253417969
15,51,3.5,0.0,1.30283784866333
15,51,4.0,0.0,1.1510934829711914
15,51,4.5,0.0,1.2101521492004395
15,51,5.0,0.4,1.2866857051849365
15,51,10.0,10.100000000000001,1.2265210151672363
20,3,0.1,0.0,0.4505789279937744
20,3,0.3,0.0,0.3869915008544922
20,3,1.0,1.2000000000000002,0.3867912292480469
20,3,1.5,2.9000000000000004,0.4078338146209717
20,3,2.0,6.0,0.40586209297180176
20,3,2.5,8.4,0.4119749069213867
20,3,3.0,11.5,0.42696666717529297
20,3,3.5,13.700000000000001,0.45282697677612305
20,3,4.0,19.3,0.41599535942077637
20,3,4.5,23.3,0.457611083984375
20,3,5.0,27.700000000000003,0.4087562561035156
20,3,10.0,62.1,0.4397728443145752
20,6,0.1,0.0,0.35009169578552246
20,6,0.3,0.0,0.3320939540863037
20,6,1.0,0.1,0.35402727127075195
20,6,1.5,0.5,0.28821802139282227
20,6,2.0,1.9000000000000001,0.28622889518737793
20,6,2.5,2.8000000000000003,0.27898526191711426
20,6,3.0,5.0,0.32810544967651367
20,6,3.5,4.1000000000000005,0.45792245864868164
20,6,4.0,8.0,0.4118502140045166
20,6,4.5,10.9,0.2582824230194092
20,6,5.0,15.600000000000001,0.2793271541595459
20,6,10.0,55.900000000000006,0.2991766929626465
20,9,0.1,0.0,0.3409688472747803
20,9,0.3,0.0,0.33211278915405273
20,9,1.0,0.1,0.34706735610961914
20,9,1.5,0.1,0.4987215995788574
20,9,2.0,0.0,0.42466020584106445
20,9,2.5,0.30000000000000004,0.3302311897277832
20,9,3.0,0.8,0.34906673431396484
20,9,3.5,1.2000000000000002,0.33107638359069824
20,9,4.0,1.6,0.3480560779571533
20,9,4.5,3.7,0.3260989189147949
20,9,5.0,4.4,0.47266578674316406
20,9,10.0,33.6,0.4517643451690674
20,12,0.1,0.0,0.3860204219818115
20,12,0.3,0.0,0.5217106342315674
20,12,1.0,0.0,0.6213114261627197
20,12,1.5,0.1,0.621373176574707
20,12,2.0,0.1,0.6352827548980713
20,12,2.5,0.2,0.6133253574371338
20,12,3.0,0.30000000000000004,0.654186487197876
20,12,3.5,0.8,0.631206750869751
20,12,4.0,1.6,0.6280405521392822
20,12,4.5,2.6,0.6035044193267822
20,12,5.0,3.0,0.6412725448608398
20,12,10.0,28.3,0.6133477687835693
20,15,0.1,0.0,0.6662399768829346
20,15,0.3,0.0,0.6262223720550537
20,15,1.0,0.0,0.6901907920837402
20,15,1.5,0.0,0.6670529842376709
20,15,2.0,0.0,0.6900978088378906
20,15,2.5,0.0,0.6661384105682373
20,15,3.0,0.1,0.5166201591491699
20,15,3.5,0.1,0.422879695892334
20,15,4.0,0.7000000000000001,0.41390109062194824
20,15,4.5,1.0,0.42984676361083984
20,15,5.0,1.1,0.5426232814788818
20,15,10.0,25.6,0.49584245681762695
20,18,0.1,0.0,0.4586973190307617
20,18,0.3,0.0,0.45267701148986816
20,18,1.0,0.0,0.45270824432373047
20,18,1.5,0.0,0.7041223049163818
20,18,2.0,0.0,0.5663869380950928
20,18,2.5,0.1,0.4418153762817383
20,18,3.0,0.1,0.4217045307159424
20,18,3.5,0.2,0.48778700828552246
20,18,4.0,0.7000000000000001,0.6261556148529053
20,18,4.5,0.5,0.5193846225738525
20,18,5.0,2.1,0.46265649795532227
20,18,10.0,22.3,0.45481085777282715
20,21,0.1,0.0,0.6143178939819336
20,21,0.3,0.0,0.5872633457183838
20,21,1.0,0.0,0.476701021194458
20,21,1.5,0.0,0.5196475982666016
20,21,2.0,0.0,0.6323666572570801
20,21,2.5,0.0,0.5710821151733398
20,21,3.0,0.1,0.5146772861480713
20,21,3.5,0.2,0.49845027923583984
20,21,4.0,0.2,0.6672868728637695
20,21,4.5,0.30000000000000004,0.7839007377624512
20,21,5.0,2.1,0.836026668548584
20,21,10.0,20.1,0.8159453868865967
20,24,0.1,0.0,0.9616043567657471
20,24,0.3,0.0,1.0602185726165771
20,24,1.0,0.0,1.0473120212554932
20,24,1.5,0.0,1.0532341003417969
20,24,2.0,0.0,1.2217891216278076
20,24,2.5,0.0,1.1330742835998535
20,24,3.0,0.0,1.132086992263794
20,24,3.5,0.0,0.9395780563354492
20,24,4.0,0.0,1.0451831817626953
20,24,4.5,0.6000000000000001,1.0223314762115479
20,24,5.0,0.8,1.0670089721679688
20,24,10.0,20.400000000000002,0.899444580078125
20,27,0.1,0.0,1.0229947566986084
20,27,0.3,0.0,0.9854390621185303
20,27,1.0,0.0,0.9954714775085449
20,27,1.5,0.0,1.0250802040100098
20,27,2.0,0.0,1.05324387550354
20,27,2.5,0.0,1.060119390487671
20,27,3.0,0.0,1.0602796077728271
20,27,3.5,0.1,1.0052776336669922
20,27,4.0,0.0,0.9548635482788086
20,27,4.5,0.30000000000000004,0.6569068431854248
20,27,5.0,0.8,0.5584971904754639
20,27,10.0,18.5,0.6929292678833008
20,30,0.1,0.0,0.6832098960876465
