Length,Deletion Probability,%Error_in_BMA,Time Taken_in_BMA,%Error_in_WA1,Time Taken_in_WA1
600,3.0,100.0,7.400229454040527,99.9,2.042736291885376
600,10.0,100.0,8.999589920043945,100.0,2.4955127239227295
640,0.1,0.20000000000000284,9.602877378463745,0.0,2.4842545986175537
640,0.3,7.5,11.346272706985474,0.0,2.925628662109375
640,1.0,83.1,9.372020959854126,7.900000000000006,2.447502374649048
640,3.0,100.0,7.948779106140137,99.8,2.1601462364196777
640,10.0,100.0,8.989830732345581,100.0,2.463374137878418
680,0.1,0.4000000000000057,8.612653493881226,0.0,2.245079755783081
680,0.3,8.400000000000006,14.387857437133789,0.20000000000000284,3.650002956390381
680,1.0,83.5,10.460692882537842,8.599999999999994,2.7347655296325684
680,3.0,100.0,9.166091442108154,99.9,2.499047040939331
680,10.0,100.0,10.34763240814209,100.0,2.8029255867004395
720,0.1,0.5999999999999943,11.084475755691528,0.0,2.8452117443084717
720,0.3,7.200000000000003,12.399667978286743,0.0,3.253307342529297
720,1.0,86.5,9.855765342712402,8.400000000000006,2.6771931648254395
720,3.0,100.0,11.036518573760986,100.0,2.9438722133636475
720,10.0,100.0,8.866240739822388,100.0,2.406755208969116
760,0.1,0.29999999999999716,12.312831401824951,0.0,3.1449332237243652
760,0.3,7.5,15.68332028388977,0.09999999999999432,3.944162368774414
760,1.0,87.1,11.527030229568481,8.0,3.048452138900757
760,3.0,100.0,9.390148162841797,100.0,2.5618741512298584
760,10.0,100.0,11.091407537460327,100.0,3.047233819961548
800,0.1,0.7999999999999972,13.103353261947632,0.0,3.338886022567749
800,0.3,9.599999999999994,13.240528345108032,0.0,3.372354507446289
800,1.0,90.9,12.106464385986328,10.799999999999997,3.188354253768921
800,3.0,100.0,10.010633707046509,100.0,2.6563520431518555
800,10.0,100.0,11.330286502838135,100.0,3.049339771270752
840,0.1,0.7999999999999972,15.57136058807373,0.0,4.162268161773682
840,0.3,10.900000000000006,12.4176926612854,0.0,3.2152907848358154
840,1.0,91.6,10.935853242874146,12.299999999999997,2.8910348415374756
840,3.0,100.0,12.761501789093018,100.0,3.4921844005584717
840,10.0,100.0,13.745623350143433,100.0,3.736661434173584
880,0.1,0.5,13.479750156402588,0.0,3.4761745929718018
880,0.3,10.599999999999994,14.0698823928833,0.09999999999999432,3.7184112071990967
880,1.0,92.9,12.619998216629028,12.0,3.3491132259368896
880,3.0,100.0,14.346989631652832,100.0,3.856175422668457
880,10.0,100.0,12.508284568786621,100.0,3.4096829891204834
920,0.1,0.5,14.164420127868652,0.0,3.7316176891326904
920,0.3,12.200000000000003,16.139742136001587,0.09999999999999432,4.1205174922943115
920,1.0,92.7,20.364712715148926,13.400000000000006,5.487591505050659
920,3.0,100.0,13.919932842254639,100.0,3.776601791381836
920,10.0,100.0,12.206176519393921,100.0,3.4024858474731445
960,0.1,0.20000000000000284,16.140735149383545,0.0,4.292593240737915
960,0.3,12.200000000000003,16.52429699897766,0.0,4.325476408004761
960,1.0,93.7,11.641037940979004,13.700000000000003,3.2327682971954346
960,3.0,100.0,13.585569143295288,100.0,3.8468620777130127
960,10.0,100.0,15.342172622680664,100.0,4.345633268356323
1000,0.1,0.5,16.822091102600098,0.0,4.441458463668823
1000,0.3,12.0,14.804738521575928,0.09999999999999432,3.924595594406128
1000,1.0,94.3,15.13316822052002,13.799999999999997,4.150061130523682
1000,3.0,100.0,16.59554171562195,100.0,4.604869365692139
1000,10.0,100.0,11.636709451675415,100.0,3.256807804107666
