Length,No. of Transmits,Deletion Probability,Percentage Error,Time Taken
35,11,3.0,1.2000000000000002,1.9801414012908936
35,11,10.0,52.6,2.1226131916046143
35,11,30.0,100.0,1.911259651184082
35,16,0.01,0.0,2.235403537750244
35,16,0.03,0.0,1.7109408378601074
35,16,0.1,0.0,1.8787965774536133
35,16,0.3,0.0,1.6660866737365723
35,16,1.0,0.0,1.6788711547851562
35,16,3.0,0.30000000000000004,2.205369234085083
35,16,10.0,41.5,1.856553077697754
35,16,30.0,100.0,1.6420207023620605
35,21,0.01,0.0,2.668771743774414
35,21,0.03,0.0,2.050337791442871
35,21,0.1,0.0,3.1433234214782715
35,21,0.3,0.0,3.6693646907806396
35,21,1.0,0.0,3.3210418224334717
35,21,3.0,0.30000000000000004,3.3036837577819824
35,21,10.0,38.6,3.2320313453674316
35,21,30.0,100.0,3.1901204586029053
35,26,0.01,0.0,3.2152445316314697
35,26,0.03,0.0,2.4048044681549072
35,26,0.1,0.0,2.884881019592285
35,26,0.3,0.0,2.3746798038482666
35,26,1.0,0.0,2.62459135055542
35,26,3.0,0.2,2.641127109527588
35,26,10.0,36.2,2.5932018756866455
35,26,30.0,100.0,2.6024274826049805
35,31,0.01,0.0,3.663235902786255
35,31,0.03,0.0,3.3095123767852783
35,31,0.1,0.0,4.589449644088745
35,31,0.3,0.0,5.343241930007935
35,31,1.0,0.0,5.091381788253784
35,31,3.0,0.0,4.971699953079224
35,31,10.0,30.3,4.988197088241577
35,31,30.0,100.0,4.303827285766602
40,1,0.01,0.5,0.4587721824645996
40,1,0.03,1.0,0.43605947494506836
40,1,0.1,3.5,0.4557802677154541
40,1,0.3,10.4,0.4349966049194336
40,1,1.0,31.200000000000003,0.4418494701385498
40,1,3.0,69.2,0.4467740058898926
40,1,10.0,98.30000000000001,0.4419593811035156
40,1,30.0,100.0,0.4438478946685791
40,7,0.01,0.0,1.0094478130340576
40,7,0.03,0.0,0.9815928936004639
40,7,0.1,0.0,0.9825198650360107
40,7,0.3,0.0,0.9777183532714844
40,7,1.0,0.1,1.0268316268920898
40,7,3.0,3.5,0.9994771480560303
40,7,10.0,67.2,1.4854872226715088
40,7,30.0,100.0,1.0204787254333496
40,13,0.01,0.0,1.5008113384246826
40,13,0.03,0.0,1.5238065719604492
40,13,0.1,0.0,2.0409886837005615
40,13,0.3,0.0,1.5220997333526611
40,13,1.0,0.0,1.5406060218811035
40,13,3.0,0.7000000000000001,2.058201789855957
40,13,10.0,54.800000000000004,1.4740355014801025
40,13,30.0,100.0,1.4421634674072266
40,19,0.01,0.0,2.624174118041992
40,19,0.03,0.0,2.094590425491333
40,19,0.1,0.0,2.576582431793213
40,19,0.3,0.0,3.4092769622802734
40,19,1.0,0.0,3.401963949203491
40,19,3.0,0.2,3.4090819358825684
40,19,10.0,43.400000000000006,3.374971628189087
40,19,30.0,100.0,2.998256206512451
40,25,0.01,0.0,2.596376419067383
40,25,0.03,0.0,3.1024746894836426
40,25,0.1,0.0,2.586465358734131
40,25,0.3,0.0,2.5890228748321533
40,25,1.0,0.0,3.0046167373657227
40,25,3.0,0.1,2.7526066303253174
40,25,10.0,39.0,3.1505393981933594
40,25,30.0,100.0,2.4593212604522705
40,31,0.01,0.0,3.6625494956970215
40,31,0.03,0.0,3.2632901668548584
40,31,0.1,0.0,4.307423114776611
40,31,0.3,0.0,5.2139246463775635
40,31,1.0,0.0,5.321077346801758
40,31,3.0,0.0,5.217350006103516
40,31,10.0,31.8,3.769805908203125
40,31,30.0,100.0,2.9475903511047363
40,37,0.01,0.0,4.052748441696167
40,37,0.03,0.0,4.380818605422974
40,37,0.1,0.0,5.460806131362915
40,37,0.3,0.0,6.775892019271851
40,37,1.0,0.0,6.754014492034912
40,37,3.0,0.0,6.6980016231536865
40,37,10.0,30.8,4.812915802001953
40,37,30.0,100.0,4.0113866329193115
45,1,0.01,0.4,0.4886925220489502
45,1,0.03,1.3,0.4828677177429199
45,1,0.1,4.3,0.48968935012817383
45,1,0.3,12.5,0.4950237274169922
45,1,1.0,32.800000000000004,0.4946777820587158
45,1,3.0,72.0,0.4838402271270752
45,1,10.0,98.30000000000001,0.4827091693878174
45,1,30.0,100.0,0.48437047004699707
45,7,0.01,0.0,1.440847396850586
45,7,0.03,0.0,1.320472002029419
45,7,0.1,0.0,1.1010541915893555
45,7,0.3,0.0,1.1160125732421875
45,7,1.0,0.0,1.204775094985962
45,7,3.0,3.9000000000000004,1.5554955005645752
45,7,10.0,76.2,1.1032912731170654
45,7,30.0,100.0,1.0560352802276611
45,13,0.01,0.0,1.9365131855010986
45,13,0.03,0.0,2.05696702003479
45,13,0.1,0.0,1.672553539276123
45,13,0.3,0.0,2.2144482135772705
45,13,1.0,0.0,1.789992094039917
45,13,3.0,0.7000000000000001,1.6829862594604492
45,13,10.0,59.800000000000004,2.233795404434204
45,13,30.0,100.0,1.921217441558838
45,19,0.01,0.0,3.875398635864258
45,19,0.03,0.0,3.8020620346069336
45,19,0.1,0.0,3.9242491722106934
45,19,0.3,0.0,3.770174503326416
45,19,1.0,0.0,2.2643492221832275
45,19,3.0,0.2,2.331763505935669
45,19,10.0,49.900000000000006,2.592064619064331
45,19,30.0,100.0,2.6979832649230957
45,25,0.01,0.0,3.9235000610351562
45,25,0.03,0.0,4.073103666305542
45,25,0.1,0.0,5.412490367889404
45,25,0.3,0.0,5.550201892852783
45,25,1.0,0.0,5.19776463508606
45,25,3.0,0.0,5.148544549942017
45,25,10.0,43.400000000000006,4.406086206436157
45,25,30.0,100.0,2.7624199390411377
45,31,0.01,0.0,3.9974477291107178
45,31,0.03,0.0,3.494657516479492
45,31,0.1,0.0,3.9831666946411133
45,31,0.3,0.0,4.008843898773193
45,31,1.0,0.0,3.5961005687713623
45,31,3.0,0.1,4.034284830093384
45,31,10.0,39.300000000000004,4.026396989822388
45,31,30.0,100.0,3.91456937789917
45,37,0.01,0.0,6.826887369155884
45,37,0.03,0.0,6.792687892913818
45,37,0.1,0.0,4.511279582977295
45,37,0.3,0.0,4.050195693969727
45,37,1.0,0.0,4.082079887390137
45,37,3.0,0.0,4.586730003356934
45,37,10.0,38.800000000000004,4.503783941268921
45,37,30.0,100.0,4.450938940048218
45,43,0.01,0.0,5.241572141647339
45,43,0.03,0.0,6.069301128387451
45,43,0.1,0.0,7.762455224990845
45,43,0.3,0.0,7.642556667327881
45,43,1.0,0.0,4.68746018409729
45,43,3.0,0.0,5.15122127532959
45,43,10.0,33.6,5.2045578956604
45,43,30.0,100.0,4.960821628570557
50,1,0.01,0.2,0.5516915321350098
50,1,0.03,1.1,0.5225975513458252
50,1,0.1,5.300000000000001,0.5347530841827393
50,1,0.3,14.9,0.524594783782959
50,1,1.0,38.6,0.5303494930267334
50,1,3.0,77.0,0.5327098369598389
50,1,10.0,99.2,0.5355985164642334
50,1,30.0,100.0,0.5308756828308105
50,8,0.01,0.0,1.3516595363616943
50,8,0.03,0.0,1.605154037475586
50,8,0.1,0.0,1.609999418258667
50,8,0.3,0.0,1.305830478668213
50,8,1.0,0.0,1.343193769454956
50,8,3.0,3.5,1.8444156646728516
